Epoch 1 | Step 360/4210 | Loss: 0.6718 | Acc: 0.5836 | LR: 1.71e-04
Epoch 1 | Step 370/4210 | Loss: 0.6683 | Acc: 0.5871 | LR: 1.76e-04
Epoch 1 | Step 380/4210 | Loss: 0.6679 | Acc: 0.5874 | LR: 1.81e-04
Epoch 1 | Step 390/4210 | Loss: 0.6647 | Acc: 0.5916 | LR: 1.86e-04
Epoch 1 | Step 400/4210 | Loss: 0.6614 | Acc: 0.5948 | LR: 1.90e-04
Epoch 1 | Step 410/4210 | Loss: 0.6591 | Acc: 0.5981 | LR: 1.95e-04
Epoch 1 | Step 420/4210 | Loss: 0.6570 | Acc: 0.6007 | LR: 2.00e-04
Epoch 1 | Step 430/4210 | Loss: 0.6550 | Acc: 0.6028 | LR: 1.99e-04
Epoch 1 | Step 440/4210 | Loss: 0.6509 | Acc: 0.6066 | LR: 1.99e-04
Epoch 1 | Step 450/4210 | Loss: 0.6490 | Acc: 0.6095 | LR: 1.98e-04
Epoch 1 | Step 460/4210 | Loss: 0.6473 | Acc: 0.6120 | LR: 1.98e-04
Epoch 1 | Step 470/4210 | Loss: 0.6464 | Acc: 0.6136 | LR: 1.97e-04
Epoch 1 | Step 480/4210 | Loss: 0.6447 | Acc: 0.6153 | LR: 1.97e-04
Epoch 1 | Step 490/4210 | Loss: 0.6432 | Acc: 0.6176 | LR: 1.96e-04
Epoch 1 | Step 500/4210 | Loss: 0.6403 | Acc: 0.6208 | LR: 1.96e-04
Epoch 1 | Step 510/4210 | Loss: 0.6386 | Acc: 0.6234 | LR: 1.95e-04
Epoch 1 | Step 520/4210 | Loss: 0.6376 | Acc: 0.6245 | LR: 1.95e-04
Epoch 1 | Step 530/4210 | Loss: 0.6364 | Acc: 0.6264 | LR: 1.94e-04
Epoch 1 | Step 540/4210 | Loss: 0.6339 | Acc: 0.6289 | LR: 1.94e-04
Epoch 1 | Step 550/4210 | Loss: 0.6310 | Acc: 0.6314 | LR: 1.93e-04
Epoch 1 | Step 560/4210 | Loss: 0.6287 | Acc: 0.6331 | LR: 1.93e-04
Epoch 1 | Step 570/4210 | Loss: 0.6266 | Acc: 0.6354 | LR: 1.92e-04
Epoch 1 | Step 580/4210 | Loss: 0.6245 | Acc: 0.6379 | LR: 1.92e-04
Epoch 1 | Step 590/4210 | Loss: 0.6201 | Acc: 0.6412 | LR: 1.91e-04
Epoch 1 | Step 600/4210 | Loss: 0.6179 | Acc: 0.6424 | LR: 1.90e-04
Epoch 1 | Step 610/4210 | Loss: 0.6162 | Acc: 0.6441 | LR: 1.90e-04
Epoch 1 | Step 620/4210 | Loss: 0.6128 | Acc: 0.6468 | LR: 1.89e-04
Epoch 1 | Step 630/4210 | Loss: 0.6105 | Acc: 0.6486 | LR: 1.89e-04
Epoch 1 | Step 640/4210 | Loss: 0.6078 | Acc: 0.6506 | LR: 1.88e-04
Epoch 1 | Step 650/4210 | Loss: 0.6064 | Acc: 0.6522 | LR: 1.88e-04
Epoch 1 | Step 660/4210 | Loss: 0.6047 | Acc: 0.6540 | LR: 1.87e-04
Epoch 1 | Step 670/4210 | Loss: 0.6022 | Acc: 0.6561 | LR: 1.87e-04
Epoch 1 | Step 680/4210 | Loss: 0.6002 | Acc: 0.6580 | LR: 1.86e-04
Epoch 1 | Step 690/4210 | Loss: 0.5971 | Acc: 0.6605 | LR: 1.86e-04
Epoch 1 | Step 700/4210 | Loss: 0.5962 | Acc: 0.6616 | LR: 1.85e-04
Epoch 1 | Step 710/4210 | Loss: 0.5939 | Acc: 0.6637 | LR: 1.85e-04
Epoch 1 | Step 720/4210 | Loss: 0.5911 | Acc: 0.6660 | LR: 1.84e-04
Epoch 1 | Step 730/4210 | Loss: 0.5892 | Acc: 0.6677 | LR: 1.84e-04
Epoch 1 | Step 740/4210 | Loss: 0.5864 | Acc: 0.6695 | LR: 1.83e-04
Epoch 1 | Step 750/4210 | Loss: 0.5847 | Acc: 0.6714 | LR: 1.83e-04
Epoch 1 | Step 760/4210 | Loss: 0.5820 | Acc: 0.6736 | LR: 1.82e-04
Epoch 1 | Step 770/4210 | Loss: 0.5796 | Acc: 0.6756 | LR: 1.82e-04
Epoch 1 | Step 780/4210 | Loss: 0.5779 | Acc: 0.6777 | LR: 1.81e-04
Epoch 1 | Step 790/4210 | Loss: 0.5763 | Acc: 0.6793 | LR: 1.80e-04
Epoch 1 | Step 800/4210 | Loss: 0.5739 | Acc: 0.6809 | LR: 1.80e-04
Epoch 1 | Step 810/4210 | Loss: 0.5720 | Acc: 0.6819 | LR: 1.79e-04
Epoch 1 | Step 820/4210 | Loss: 0.5707 | Acc: 0.6834 | LR: 1.79e-04
Epoch 1 | Step 830/4210 | Loss: 0.5692 | Acc: 0.6850 | LR: 1.78e-04
Epoch 1 | Step 840/4210 | Loss: 0.5676 | Acc: 0.6864 | LR: 1.78e-04
Epoch 1 | Step 850/4210 | Loss: 0.5656 | Acc: 0.6879 | LR: 1.77e-04
Epoch 1 | Step 860/4210 | Loss: 0.5641 | Acc: 0.6892 | LR: 1.77e-04
Epoch 1 | Step 870/4210 | Loss: 0.5623 | Acc: 0.6904 | LR: 1.76e-04
Epoch 1 | Step 880/4210 | Loss: 0.5608 | Acc: 0.6916 | LR: 1.76e-04
Epoch 1 | Step 890/4210 | Loss: 0.5593 | Acc: 0.6930 | LR: 1.75e-04
Epoch 1 | Step 900/4210 | Loss: 0.5570 | Acc: 0.6948 | LR: 1.75e-04
Epoch 1 | Step 910/4210 | Loss: 0.5544 | Acc: 0.6968 | LR: 1.74e-04
Epoch 1 | Step 920/4210 | Loss: 0.5531 | Acc: 0.6980 | LR: 1.74e-04
Epoch 1 | Step 930/4210 | Loss: 0.5509 | Acc: 0.6995 | LR: 1.73e-04
Epoch 1 | Step 940/4210 | Loss: 0.5492 | Acc: 0.7012 | LR: 1.73e-04
Epoch 1 | Step 950/4210 | Loss: 0.5472 | Acc: 0.7026 | LR: 1.72e-04
Epoch 1 | Step 960/4210 | Loss: 0.5470 | Acc: 0.7031 | LR: 1.71e-04
Epoch 1 | Step 970/4210 | Loss: 0.5458 | Acc: 0.7041 | LR: 1.71e-04
Epoch 1 | Step 980/4210 | Loss: 0.5439 | Acc: 0.7055 | LR: 1.70e-04
Epoch 1 | Step 990/4210 | Loss: 0.5426 | Acc: 0.7066 | LR: 1.70e-04
Epoch 1 | Step 1000/4210 | Loss: 0.5412 | Acc: 0.7077 | LR: 1.69e-04
Epoch 1 | Step 1010/4210 | Loss: 0.5402 | Acc: 0.7087 | LR: 1.69e-04
Epoch 1 | Step 1020/4210 | Loss: 0.5389 | Acc: 0.7100 | LR: 1.68e-04
Epoch 1 | Step 1030/4210 | Loss: 0.5377 | Acc: 0.7108 | LR: 1.68e-04
Epoch 1 | Step 1040/4210 | Loss: 0.5362 | Acc: 0.7118 | LR: 1.67e-04
Epoch 1 | Step 1050/4210 | Loss: 0.5355 | Acc: 0.7129 | LR: 1.67e-04
Epoch 1 | Step 1060/4210 | Loss: 0.5336 | Acc: 0.7142 | LR: 1.66e-04
Epoch 1 | Step 1070/4210 | Loss: 0.5318 | Acc: 0.7156 | LR: 1.66e-04
Epoch 1 | Step 1080/4210 | Loss: 0.5307 | Acc: 0.7165 | LR: 1.65e-04
Epoch 1 | Step 1090/4210 | Loss: 0.5293 | Acc: 0.7172 | LR: 1.65e-04
Epoch 1 | Step 1100/4210 | Loss: 0.5276 | Acc: 0.7182 | LR: 1.64e-04
Epoch 1 | Step 1110/4210 | Loss: 0.5264 | Acc: 0.7193 | LR: 1.64e-04
Epoch 1 | Step 1120/4210 | Loss: 0.5246 | Acc: 0.7205 | LR: 1.63e-04
Epoch 1 | Step 1130/4210 | Loss: 0.5228 | Acc: 0.7218 | LR: 1.63e-04
Epoch 1 | Step 1140/4210 | Loss: 0.5216 | Acc: 0.7227 | LR: 1.62e-04
Epoch 1 | Step 1150/4210 | Loss: 0.5209 | Acc: 0.7234 | LR: 1.61e-04
Epoch 1 | Step 1160/4210 | Loss: 0.5192 | Acc: 0.7245 | LR: 1.61e-04
Epoch 1 | Step 1170/4210 | Loss: 0.5182 | Acc: 0.7252 | LR: 1.60e-04
Epoch 1 | Step 1180/4210 | Loss: 0.5168 | Acc: 0.7265 | LR: 1.60e-04
Epoch 1 | Step 1190/4210 | Loss: 0.5158 | Acc: 0.7275 | LR: 1.59e-04
Epoch 1 | Step 1200/4210 | Loss: 0.5150 | Acc: 0.7282 | LR: 1.59e-04
Epoch 1 | Step 1210/4210 | Loss: 0.5137 | Acc: 0.7290 | LR: 1.58e-04
Epoch 1 | Step 1220/4210 | Loss: 0.5123 | Acc: 0.7300 | LR: 1.58e-04
Epoch 1 | Step 1230/4210 | Loss: 0.5106 | Acc: 0.7312 | LR: 1.57e-04
Epoch 1 | Step 1240/4210 | Loss: 0.5102 | Acc: 0.7317 | LR: 1.57e-04
Epoch 1 | Step 1250/4210 | Loss: 0.5090 | Acc: 0.7326 | LR: 1.56e-04
Epoch 1 | Step 1260/4210 | Loss: 0.5077 | Acc: 0.7335 | LR: 1.56e-04
Epoch 1 | Step 1270/4210 | Loss: 0.5074 | Acc: 0.7338 | LR: 1.55e-04
Epoch 1 | Step 1280/4210 | Loss: 0.5061 | Acc: 0.7347 | LR: 1.55e-04
Epoch 1 | Step 1290/4210 | Loss: 0.5051 | Acc: 0.7354 | LR: 1.54e-04
